Generating graph...
Graph Stats:
Number of nodes: 3270
Number of sources: 1
Number of sinks: 174
Number of edges: 9894
Computing BFS...
Done.
Found back edge 0-3422 -> 1-3622, id: 418 -> 304, dist: 8 -> 7  replaceable to 1-4422
Found back edge 0-2526 -> 1-3502, id: 419 -> 245, dist: 8 -> 7 -HIT replaceable to 1-2626
Found back edge 0-0527 -> 1-2502, id: 420 -> 217, dist: 8 -> 7 -HIT 
Found back edge 0-2614 -> 1-3614, id: 422 -> 275, dist: 8 -> 7  replaceable to 1-4614
Found back edge 0-2614 -> 1-2714, id: 422 -> 364, dist: 8 -> 7  replaceable to 1-4614
Found back edge 0-0218 -> 1-1201, id: 429 -> 342, dist: 8 -> 7 -HIT 
Found back edge 0-2536 -> 1-3503, id: 432 -> 251, dist: 8 -> 7 -HIT replaceable to 1-2606
Found back edge 0-4417 -> 1-4517, id: 434 -> 376, dist: 8 -> 7  
Found back edge 0-4417 -> 1-4517, id: 434 -> 376, dist: 8 -> 7  
Found back edge 0-0617 -> 1-1617, id: 436 -> 332, dist: 8 -> 7  
Found back edge 0-0617 -> 1-2601, id: 436 -> 385, dist: 8 -> 7 -HIT 
Found back edge 0-1626 -> 1-3602, id: 440 -> 269, dist: 8 -> 7 -HIT replaceable to 1-1826
Found back edge 0-3522 -> 1-3622, id: 441 -> 304, dist: 8 -> 7  replaceable to 1-5522
Found back edge 0-1614 -> 1-2614, id: 445 -> 223, dist: 8 -> 7  
Found back edge 0-1614 -> 1-3614, id: 445 -> 275, dist: 8 -> 7  
Found back edge 0-1614 -> 1-1804, id: 445 -> 365, dist: 8 -> 7 -HIT 
Found back edge 0-3513 -> 1-3601, id: 448 -> 309, dist: 8 -> 7 -HIT replaceable to 1-5513
Found back edge 0-3513 -> 1-3713, id: 448 -> 370, dist: 8 -> 7  replaceable to 1-4513
Found back edge 0-1627 -> 1-2602, id: 453 -> 219, dist: 8 -> 7 -HIT replaceable to 1-3627
Found back edge 0-0417 -> 1-2401, id: 454 -> 85, dist: 8 -> 5 -HIT 
Found back edge 0-1526 -> 1-3502, id: 456 -> 245, dist: 8 -> 7 -HIT replaceable to 1-1626
Found back edge 0-1536 -> 1-3503, id: 457 -> 251, dist: 8 -> 7 -HIT replaceable to 1-2536
Found back edge 0-0518 -> 1-1501, id: 458 -> 69, dist: 8 -> 5 -HIT 
Found back edge 0-0618 -> 1-1601, id: 460 -> 79, dist: 8 -> 5 -HIT 
Found back edge 0-1711 -> 1-2711, id: 463 -> 292, dist: 8 -> 7  
Found back edge 0-1711 -> 1-3711, id: 463 -> 361, dist: 8 -> 7  
Found back edge 0-4533 -> 1-5533, id: 464 -> 351, dist: 8 -> 7  
Found back edge 0-0424 -> 1-1424, id: 465 -> 371, dist: 8 -> 7  
Found back edge 0-0424 -> 1-2424, id: 465 -> 215, dist: 8 -> 7  
Found back edge 0-0434 -> 1-1434, id: 466 -> 372, dist: 8 -> 7  
Found back edge 0-0434 -> 1-2434, id: 466 -> 227, dist: 8 -> 7  
Found back edge 0-0525 -> 1-2525, id: 467 -> 233, dist: 8 -> 7  
Found back edge 0-3612 -> 1-3701, id: 468 -> 363, dist: 8 -> 7 -HIT replaceable to 1-5612
Found back edge 0-4512 -> 1-5512, id: 470 -> 362, dist: 8 -> 7  replaceable to 1-4612
Found back edge 0-3625 -> 1-3705, id: 472 -> 359, dist: 8 -> 7 -HIT replaceable to 1-3825
Found back edge 0-2713 -> 1-3713, id: 475 -> 370, dist: 8 -> 7  replaceable to 1-4713
Found back edge 0-0223 -> 1-1223, id: 476 -> 297, dist: 8 -> 7  
Found back edge 0-2234 -> 1-2334, id: 477 -> 356, dist: 8 -> 7  
Found back edge 0-2234 -> 1-2334, id: 477 -> 356, dist: 8 -> 7  
Found back edge 0-2234 -> 1-2434, id: 477 -> 227, dist: 8 -> 7  
Found back edge 0-2234 -> 1-2434, id: 477 -> 227, dist: 8 -> 7  
Found back edge 0-4511 -> 1-5511, id: 479 -> 360, dist: 8 -> 7  replaceable to 1-4711
Found back edge 0-3615 -> 1-3715, id: 481 -> 354, dist: 8 -> 7  replaceable to 1-4601
Found back edge 0-0616 -> 1-1616, id: 482 -> 259, dist: 8 -> 7  
Found back edge 0-0616 -> 1-2616, id: 482 -> 242, dist: 8 -> 7  
Found back edge 0-0535 -> 1-2535, id: 483 -> 314, dist: 8 -> 7  
Found back edge 0-1325 -> 1-2325, id: 484 -> 285, dist: 8 -> 7  
Found back edge 0-1325 -> 1-1402, id: 484 -> 343, dist: 8 -> 7 -HIT 
Found back edge 0-1325 -> 1-3325, id: 484 -> 230, dist: 8 -> 7  
Found back edge 0-0116 -> 1-1216, id: 485 -> 238, dist: 8 -> 7  
Found back edge 0-1335 -> 1-2335, id: 486 -> 335, dist: 8 -> 7  
Found back edge 0-1335 -> 1-1403, id: 486 -> 344, dist: 8 -> 7 -HIT 
Found back edge 0-1335 -> 1-3335, id: 486 -> 311, dist: 8 -> 7  
Found back edge 0-1317 -> 1-2301, id: 487 -> 318, dist: 8 -> 7 -HIT replaceable to 1-3317
Found back edge 0-1317 -> 1-1517, id: 487 -> 340, dist: 8 -> 7  replaceable to 1-1417
Found back edge 0-2224 -> 1-2324, id: 488 -> 349, dist: 8 -> 7  
Found back edge 0-2224 -> 1-2324, id: 488 -> 349, dist: 8 -> 7  
Found back edge 0-2224 -> 1-2424, id: 488 -> 215, dist: 8 -> 7  
Found back edge 0-2224 -> 1-2424, id: 488 -> 215, dist: 8 -> 7  
Found back edge 0-2734 -> 1-3734, id: 489 -> 382, dist: 8 -> 7  replaceable to 1-4734
Found back edge 0-2735 -> 1-3735, id: 490 -> 375, dist: 8 -> 7  replaceable to 1-4703
Found back edge 0-2716 -> 1-3701, id: 491 -> 363, dist: 8 -> 7 -HIT replaceable to 1-4716
Found back edge 0-0717 -> 1-1717, id: 492 -> 333, dist: 8 -> 7  
Found back edge 0-0717 -> 1-2701, id: 492 -> 295, dist: 8 -> 7 -HIT 
Found back edge 0-4523 -> 1-5523, id: 494 -> 346, dist: 8 -> 7  replaceable to 1-4703
Found back edge 0-3614 -> 1-3714, id: 495 -> 366, dist: 8 -> 7  replaceable to 1-5601
Found back edge 0-0627 -> 1-2602, id: 503 -> 219, dist: 8 -> 7 -HIT 
Found back edge 0-2715 -> 1-3715, id: 504 -> 354, dist: 8 -> 7  replaceable to 1-4701
Found back edge 0-1426 -> 1-3402, id: 505 -> 232, dist: 8 -> 7 -HIT replaceable to 1-2426
Found back edge 0-1417 -> 1-2401, id: 506 -> 85, dist: 8 -> 5 -HIT 
Found back edge 0-1417 -> 1-1517, id: 506 -> 340, dist: 8 -> 7  
Found back edge 0-1417 -> 1-3417, id: 506 -> 330, dist: 8 -> 7  
Found back edge 0-1417 -> 1-1617, id: 506 -> 332, dist: 8 -> 7  
Found back edge 0-1436 -> 1-3403, id: 507 -> 313, dist: 8 -> 7 -HIT replaceable to 1-2436
Found back edge 0-0418 -> 1-1401, id: 508 -> 89, dist: 8 -> 5 -HIT 
Found back edge 0-0213 -> 1-2213, id: 509 -> 11, dist: 8 -> 3  
Found back edge 0-0212 -> 1-2212, id: 510 -> 7, dist: 8 -> 3  
Found back edge 0-0414 -> 1-1414, id: 511 -> 67, dist: 8 -> 5  
Found back edge 0-0414 -> 1-2414, id: 511 -> 60, dist: 8 -> 5  
Found back edge 0-2711 -> 1-3711, id: 512 -> 361, dist: 8 -> 7  
Found back edge 0-1233 -> 1-2333, id: 514 -> 82, dist: 8 -> 5  replaceable to 1-2233
